_H:	|epc_ctr	|Epoch	cpy_cnt_sum_Outp_se_0	sum_lst_cycles	|epoch	gn_pos		gn_neg		gn_A_R1		gn_B_R1		
_D:	1	0	2		100		21	22.9819		3.84128		10.998		2.94843		
_D:	1	0	1		100		22	10.2071		14.0996		9.83427		13.9467		
_D:	1	0	1		100		23	16.4475		8.17691		9.71759		7.98158		
_D:	1	0	2		100		24	20.5984		3.37136		10.9649		3.0609		
_D:	1	0	1		100		25	8.35315		12.3678		7.28999		11.9476		
_D:	1	0	1		100		26	6.45432		13.9728		6.03754		13.5763		
_D:	1	0	1		100		27	8.38063		12.5626		8.09741		12.1508		
_D:	1	0	1		100		28	7.02315		11.1813		6.75406		10.287		
_D:	1	0	0		100		29	3.7675		23.1873		3.67134		13.7027		
_D:	1	0	1		100		30	6.79027		10.789		3.16881		2.50047		
_D:	1	0	1		100		31	6.04473		12.8411		5.75276		11.4137		
_D:	1	0	0		100		32	4.0549		23.7546		3.67239		15.0753		
_D:	1	0	0		100		33	3.62497		20.0357		3.14995		12.0234		
_D:	1	0	0		100		34	2.28754		18.776		1.87894		13.3424		
_D:	1	0	1		100		35	3.99129		21.2936		3.35106		14.8826		
_D:	1	0	1		100		36	2.49837		16.7828		2.43401		12.8306		
_D:	1	0	0		100		37	2.8569		17.9262		2.67643		13.0914		
_D:	1	0	2		100		38	3.82549		3.98135		1.28074		0.793401	
_D:	1	0	2		100		39	7.325		1.8369		0.634184	0.806478	
_D:	1	0	1		100		40	0.299642	11.4474		0.0406955	10.0565		
_D:	1	0	1		100		40	5.25848		15.4832		0.567352	12.998		
_D:	1	0	0		100		1	12.2057		4.66232		7.23372		4.60004		
_D:	1	0	1		100		2	6.65122		6.365		6.10467		6.28162		
_D:	1	0	1		100		3	6.22178		5.55203		5.98467		5.52243		
_D:	1	0	1		100		4	7.06419		6.0076		6.79852		5.98359		
_D:	1	0	0		100		5	11.5292		3.73786		6.42918		3.70804		
_D:	1	0	0		100		6	24.8923		0.320907	11.0219		0.259176	
_D:	1	0	1		100		7	7.17304		4.23682		6.68876		4.18243		
_D:	1	0	0		100		8	22.3127		0.463879	10.8691		0.248014	
_D:	1	0	0		100		9	26.4727		0.475333	11.8153		0.378686	
_D:	1	0	0		100		10	24.9411		0.148942	12.2933		0.10038		
_D:	1	0	0		100		11	24.9645		0.400346	10.4481		0.154799	
_D:	1	0	0		100		12	22.3562		0.439255	10.5582		0.0205182	
_D:	1	0	0		100		13	22.3838		0.290147	11.7761		0.0277601	
_D:	1	0	0		100		14	23.2308		-0.0834382	10.2697		-0.319703	
_D:	1	0	0		100		15	23.5644		0.0262094	10.7403		-0.668311	
_D:	1	0	1		100		16	8.67996		7.61679		1.6506		-0.13295	
_D:	1	0	0		100		17	19.0502		0.827893	10.1248		0.0194227	
_D:	1	0	0		100		18	22.2273		1.42123		10.3215		0.160267	
_D:	1	0	0		100		19	18.1507		0.235511	9.51881		-0.451162	
_D:	1	0	1		100		20	8.51378		9.31223		1.31757		0.811526	
_D:	1	0	1		100		21	6.94568		14.5682		1.55283		4.0831		
_D:	1	0	0		100		22	5.87639		12.5153		0.847351	3.50858		
_D:	1	0	1		100		23	8.45149		16.2132		8.39625		5.24138		
_D:	1	0	0		100		24	7.54172		16.3857		7.4192		2.30578		
_D:	1	0	0		100		25	1.02301		22.6181		0.995877	6.60426		
_D:	1	0	0		100		26	1.44555		27.1481		1.40474		9.50071		
_D:	1	0	1		100		27	1.6444		9.76185		1.44816		9.59579		
_D:	1	0	0		100		28	1.676		27.5186		1.50624		12.65		
_D:	1	0	0		100		29	1.91203		29.6456		1.91632		12.2412		
_D:	1	0	0		100		30	2.52972		29.1042		2.14246		15.1457		
_D:	1	0	0		100		31	2.31122		31.0598		2.05507		13.9878		
_D:	1	0	0		100		32	1.02747		23.416		0.672377	11.3488		
_D:	1	0	0		100		33	5.9037		16.1056		0.6791		7.75985		
_D:	1	0	0		100		34	1.45815		23.1084		1.25878		10.3436		
_D:	1	0	0		100		35	0.569173	29.7911		0.375055	15.199		
_D:	1	0	0		100		36	0.654433	31.6048		0.585024	16.6545		
_D:	1	0	1		100		37	5.64288		15.279		5.46898		10.3531		
_D:	1	0	1		100		38	3.05143		11.2624		2.92363		11.2607		
_D:	1	0	0		100		39	8.90849		17.2814		3.51609		7.92355		
_D:	1	0	0		100		40	6.79256		17.181		6.95662		9.51362		
_D:	1	0	0		100		40	6.30786		12.3599		6.28354		8.49226		
_D:	1	0	2		100		1	2.38732		21.0235		3.86865e-05	9.5705		
_D:	1	0	2		100		2	2.44256		16.9842		5.53598e-05	5.47412		
_D:	1	0	2		100		3	1.83374		18.4937		6.08683e-05	5.88699		
_D:	1	0	2		100		4	1.25568		16.726		0.000200695	4.81376		
_D:	1	0	2		100		5	0.384632	15.9494		9.85215e-05	3.24071		
_D:	1	0	1		100		6	5.78003		10.2916		0.00094888	2.402		
_D:	1	0	1		100		7	4.81672		10.604		0.000565408	1.6727		
_D:	1	0	2		100		8	3.47974		12.8857		0.00321474	2.75552		
_D:	1	0	1		100		9	3.72317		6.75729		0.001494	2.29119		
_D:	1	0	2		100		10	0.345059	11.6516		0.00227243	4.16047		
_D:	1	0	2		100		11	5.73829		10.1454		0.0136691	4.29513		
_D:	1	0	1		100		12	4.19275		7.54055		0.00797116	2.68494		
_D:	1	0	2		100		13	0.456942	13.6256		0.0253331	7.6598		
_D:	1	0	0		100		14	14.6439		6.10998		8.37641		5.52265		
_D:	1	0	1		100		15	10.5656		5.82889		9.16355		5.42762		
_D:	1	0	1		100		16	7.15058		6.7934		7.11378		6.13861		
_D:	1	0	1		100		17	3.85873		5.13342		0.00548292	4.28279		
_D:	1	0	1		100		18	9.06988		6.60045		9.04109		6.04115		
_D:	1	0	0		100		19	11.2101		4.37644		10.4085		3.79926		
_D:	1	0	1		100		20	7.17432		6.07284		7.16684		5.63002		
_D:	1	0	0		100		21	5.21176		7.14088		5.06277		6.85542		
_D:	1	0	0		100		22	4.066		10.6679		4.05254		10.8012		
_D:	1	0	1		100		23	3.78446		10.558		3.73532		9.85075		
_D:	1	0	1		100		24	4.14696		11.5262		4.02939		9.54202		
_D:	1	0	0		100		25	5.25292		12.6842		5.13711		10.11		
_D:	1	0	0		100		26	3.68611		9.77316		3.68096		6.82362		
_D:	1	0	0		100		27	4.12697		9.09049		4.09558		8.30943		
_D:	1	0	1		100		28	5.11823		11.428		5.10367		10.7529		
_D:	1	0	1		100		29	3.0551		10.1917		3.03715		9.10739		
_D:	1	0	0		100		30	3.49963		8.7113		3.45751		7.49706		
_D:	1	0	1		100		31	3.69544		12.8721		3.17516		12.8877		
_D:	1	0	0		100		32	4.77594		10.465		4.75801		8.81968		
_D:	1	0	1		100		33	4.18247		3.99006		4.14788		3.84066		
_D:	1	0	0		100		34	6.76197		11.1757		4.3652		7.55921		
_D:	1	0	1		100		35	2.57033		4.18373		4.82661		2.60361		
_D:	1	0	0		100		36	3.94438		11.7623		3.79259		10.7888		
_D:	1	0	0		100		37	6.32187		10.7372		6.28904		5.81095		
_D:	1	0	1		100		38	4.81445		4.12371		4.83841		3.52355		
_D:	1	0	1		100		39	5.70617		7.90148		5.57185		5.97377		
_D:	1	0	0		100		40	7.07869		11.2959		7.01626		8.09946		
_D:	1	0	1		100		40	5.98031		8.19173		6.01337		6.9994		
_D:	1	0	2		100		1	0.0340753	31.3481		0.0154124	17.4163		
_D:	1	0	2		100		2	0.0491495	28.5177		0.00103203	15.6466		
_D:	1	0	2		100		3	0.0659486	30.0615		0.0013364	17.3039		
_D:	1	0	2		100		4	0.109786	26.1433		0.000873519	14.468		
_D:	1	0	2		100		5	0.172909	24.9877		0.00383771	12.9627		
_D:	1	0	2		100		6	0.128858	20.3225		0.00902615	10.4516		
_D:	1	0	2		100		7	0.266982	19.9296		0.000765745	10.2302		
_D:	1	0	2		100		8	0.243806	18.4099		4.36721e-05	10.0958		
_D:	1	0	1		100		9	6.99728		5.89174		0.000291774	0.727717	
_D:	1	0	1		100		10	7.4678		5.1916		0.000933212	0.873931	
_D:	1	0	1		100		11	7.14861		5.08091		0.000395412	0.819983	
_D:	1	0	2		100		12	0.0875588	16.7065		0.00993961	9.68712		
_D:	1	0	2		100		13	7.39582		9.41158		0.00715904	5.87158		
_D:	1	0	1		100		14	8.29852		5.48664		0.0176977	0.615091	
_D:	1	0	1		100		15	9.70944		5.45453		0.296603	1.33542		
_D:	1	0	1		100		16	5.96884		5.44564		5.87474		5.17791		
_D:	1	0	0		100		17	14.0578		3.54218		5.01459		1.94688		
_D:	1	0	0		100		18	15.8081		4.6751		6.46888		1.63809		
_D:	1	0	1		100		19	11.0283		2.40661		0.0144906	1.69439		
_D:	1	0	0		100		20	0.42794		8.64422		0.00415232	8.38287		
_D:	1	0	0		100		21	0.0879955	11.1659		0.0048485	7.05052		
_D:	1	0	0		100		22	0.248492	14.7482		0.00725224	8.27378		
_D:	1	0	0		100		23	0.0434771	18.1774		0.0139378	8.70351		
_D:	1	0	0		100		24	0.294495	18.7175		0.0669241	8.62479		
_D:	1	0	1		100		25	3.86331		8.25795		0.0793038	1.3012		
_D:	1	0	0		100		26	0.414745	19.8756		0.178251	11.2928		
_D:	1	0	1		100		27	13.2887		10.5425		7.0205		1.32528		
_D:	1	0	1		100		28	6.59503		10.8638		0.162431	0.438878	
_D:	1	0	0		100		29	0.99604		28.1257		0.33156		12.4379		
_D:	1	0	0		100		30	0.454214	28.6826		0.159774	13.9319		
_D:	1	0	0		100		31	1.09401		32.5199		0.147559	15.3572		
_D:	1	0	0		100		32	0.576528	25.5657		0.209568	12.6783		
_D:	1	0	0		100		33	1.12123		32.1012		0.267255	15.184		
_D:	1	0	0		100		34	1.20407		30.268		0.333211	16.7546		
_D:	1	0	0		100		35	2.19478		26.7124		1.09663		13.0564		
_D:	1	0	0		100		36	6.03469		12.2869		0.503629	3.43516		
_D:	1	0	0		100		37	1.30285		29.9833		0.42699		15.8869		
_D:	1	0	1		100		38	3.98157		7.64657		3.556		7.61167		
_D:	1	0	0		100		39	2.78499		24.1694		1.92639		13.3589		
_D:	1	0	0		100		40	1.43492		30.2539		0.344664	15.4479		
_D:	1	0	0		100		40	1.54795		24.6624		0.512407	14.3353		
